document title,abstract,author affiliations,authors,doi,isbns,issn,publication title,publication year,relevant_deepseek-r1:1.5b
Impact of AI for Online Shopping through Enhancing Personalised Recommendations,"Artificial intelligence may significantly improve the online shopping experience for both customers and businesses. By analysing consumer behavior and favorites, AI may deliver tailored product suggestions, assisting customers in discovering new goods of interest. AI technologies have transformed many aspects of online purchase, providing organizations with new opportunity to improve consumer experiences, streamline procedures, and encourage growth.AI algorithms may potentially improve the online shopping experience by anticipating demand and altering inventory levels accordingly. Furthermore, AI-powered chatbots may provide immediate support to clients by answering their questions and addressing difficulties promptly. AI can help shops enhance customer happiness, boost revenue, and optimize processes. Virtual assistants that use natural language processing allow for seamless conversation and help throughout the shopping experience, in inventory management and route optimization, resulting in faster and more accurate deliveries. Artificial intelligence has improved customer-marketer interactions in online retail by automating shopping activities and providing personalized recommendations. AI has played a significant influence in transforming the retail industry. This study summarizes the benefits customers see from buying with AI-enabled online merchants. As more data is collected and evaluated, AI will continue to improve the online grocery shopping experience, making it more customized and effective. This paper's management implications are important since using AI in competitive firms can enhance decision-making","Department of Management Studies, Vel Tech Rangarajan Dr.Sagunthala R&D Institute of Science and Technology, Chennai, India; School of Management, Hindustan Institute of Technology and Science, Chennai, India; Faculty of Management, Sharda University, Andijan, Uzbekistan; School of Management, Hindustan Institute of Technology and Science, Chennai, India; School of Management, Hindustan Institute of Technology and Science, Chennai, India; School of Management, Hindustan Institute of Technology and Science, Chennai, India",M. Jayakumar; A. K. S; K. S. Ganesh; L. Jenefa; A. K. S; H. S,10.1109/ICERCS63125.2024.10894946,979-8-3315-3496-7,,2024 International Conference on Emerging Research in Computational Science (ICERCS),2024,False
Leveraging Artificial Intelligence And Machine Learning For Advanced Customer Relationship Management In The Retail Industry,"Maintaining success in the ever-changing retail sector requires careful attention to customer interactions. Understanding and satisfying client expectations are crucial for growth in the retail industry, which is becoming increasingly competitive. The level of consumer awareness that is typically required for traditional customer relationship management (CRM) solutions to function properly is frequently in excess of what is possible. The present CRM systems' incapacity to process huge, complicated information places a cap on the insights that may be obtained from these data. Specifically, this importance is brought to light by the findings of the study. This is despite the fact that AI and ML have been widely adopted over the past several years. In order to fill in this knowledge vacuum, this study investigates how Deep Support Vector Machines (SVMs) might be utilised to turn consumer data into actionable insight for improved decision-making in retail customer relationship management (CRM). This paper investigates the challenges that can arise when attempting to improve customer relationship management (CRM) in the retail industry by employing AI and ML, more specifically through the application of Deep Support Vector Machines (Deep SVM). The capability of the model to anticipate the actions and preferences of customers will be trained and validated using data collected from actual customers shopping in a number of different retail situations. One of the outcomes that is anticipated is the development of a much improved customer relationship management system that has the capacity to give more accurate customer insights and predictions.","Business School, Koneru Lakshmaiah Education Foundation, Vaddeswaram, India; School of Management Studies, Bannari Amman Institute of Technology, Sathyamangalam, India; Business School, Koneru Lakshmaiah Education Foundation, Vaddeswaram, India; Business School, Koneru Lakshmaiah Education Foundation, Vaddeswaram, India; Business School, Koneru Lakshmaiah Education Foundation, Vaddeswaram, India; Business School, Koneru Lakshmaiah Education Foundation, Vaddeswaram, India",B. Girimurugan; G. K; M. S. S. Sasank; V. N. Pokuri; N. k. Kurra; V. D. Reddy,10.1109/ICDT61202.2024.10488981,979-8-3503-7105-5,,2024 2nd International Conference on Disruptive Technologies (ICDT),2024,False
Online Edtech Platform with AI Doubt Assistance,"This study assesses the impact of Artificial Intelligence (AI) on education through a qualitative analysis of literature. The research focuses on the application of AI in administration, instruction, and learning. The findings reveal extensive adoption of AI in education, with benefits including improved administrative efficiency, personalized learning experiences, and enhanced learning outcomes. AI-powered Question and answering bots are highlighted as promising tools for providing immediate support, personalized learning experiences, and skill development for students, while also offering improved pedagogy and valuable time-saving assistance for educators. However, challenges and concerns related to AI applications, such as reliability, accuracy, and ethical considerations, require careful attention and management. This research provides valuable insights into the potential of AI to revolutionize education while emphasizing the importance of addressing critical challenges to ensure ethical and effective implementation.","Applied Computational Science and Engineering, G.L. Bajaj Institute of Technology and Management, Greater Noida, India; Applied Computational Science and Engineering, G.L. Bajaj Institute of Technology and Management, Greater Noida, India; Applied Computational Science and Engineering, G.L. Bajaj Institute of Technology and Management, Greater Noida, India; Applied Computational Science and Engineering, G.L. Bajaj Institute of Technology and Management, Greater Noida, India",R. Ketak; S. Mittal; V. Gupta; H. Gupta,10.1109/ICDT61202.2024.10489310,979-8-3503-7105-5,,2024 2nd International Conference on Disruptive Technologies (ICDT),2024,False
AI based Automated Essay Grading System using NLP,"The goal of this proposed work is to develop an AI-powered system for automated essay grading. The system will utilize natural language processing and Graph based techniques to analyze, and grade written essays. It not only checks the syntax, semantics and grammar but also grades according to the similarity of sentences using a Graph based approach. The system will be trained on a dataset of labelled essays and will be able to accurately grade new essays based on their content and writing quality. The system can be able to integrate with existing learning management systems. The goal is to provide a more efficient and accurate essay grading process, so the teachers can provide valuable feedback to students. The proposed work aims to develop an automated essay grading system using AI technology. The system will be able to analyze, and grade written essays by using natural language processing and machine learning techniques. The system will be trained on a dataset of labelled essays, which will be used to teach the system to recognize patterns and characteristics of high-quality writing. This will enable the system to accurately grade new essays based on their content and writing quality.","Computer Science and Engineering, Dr. N.G.P Institute of Technology, Coimbatore, India; Computer Science and Engineering, Dr. N.G.P Institute of Technology, Coimbatore, India; Computer Science and Engineering, Dr. N.G.P Institute of Technology, Coimbatore, India; Computer Science and Engineering, Dr. N.G.P Institute of Technology, Coimbatore, India; Computer Science and Engineering, Dr. N.G.P Institute of Technology, Coimbatore, India",V. Suresh; R. Agasthiya; J. Ajay; A. A. Gold; D. Chandru,10.1109/ICICCS56967.2023.10142822,979-8-3503-9725-3,2768-5330,2023 7th International Conference on Intelligent Computing and Control Systems (ICICCS),2023,False
New Approaches to Automated Software Testing Based on Artificial Intelligence,"With the increasing complexity of software development, traditional automated testing methods face significant challenges in efficiency and coverage. This paper proposes a novel AI-driven automated testing method aimed at optimizing test case generation and selection through machine learning and deep learning techniques. Experimental results demonstrate that this approach significantly enhances test coverage and accuracy, addressing limitations inherent in existing methods. This research provides new insights for automation and intelligence in the field of software testing, advancing the application of artificial intelligence in software engineering.","Harbin Institute of Information Engineering, Harbin City, Heilongjiang Province, China",Y. Zhang,10.1109/ICAICE63571.2024.10863866,979-8-3315-2891-1,,2024 5th International Conference on Artificial Intelligence and Computer Engineering (ICAICE),2024,False
The Rise of Intelligence: A Comprehensive Review on AI and AI Automation,"This paper presents a comprehensive review of Artificial Intelligence (AI), Machine Learning (ML), and Deep Learning (DL) technologies, focusing on their impact in driving AI automation across diverse sectors with a special emphasis on robotics. As AI continues to evolve, its integration into automation systems has revolutionized industries, enhancing efficiency, precision, and decision-making. The role of AI automation in robotics is critically examined, covering key architectural frameworks that enable autonomous operation and intelligent decision-making. Furthermore, the security aspects associated with AI in robotics, identifying attack surfaces and potential vulnerabilities has been analysed. This review highlights the transformative potential of AI automation while addressing the challenges and security concerns that accompany its deployment in modern systems, particularly in robotics.","Department of Computer Engineering and Applications, GLA University, Mathura, India",C. Bhardwaj,10.1109/CCIS63231.2024.10931880,979-8-3315-2820-1,,"2024 International Conference on Communication, Control, and Intelligent Systems (CCIS)",2024,False
Occupational Disease Risk Assessment System Using Artificial Intelligence System and Chatbot,"This research aimed to study and develop a chatbot to assess the risk from occupational diseases among informal workers and to provide knowledge on disease prevention. There is a problem of accessing health services among informal workers or independent professional groups who do not have health benefit, lack professional healthcare, and lack knowledge about risk factors arising from their work. In addition, visiting a doctor in person takes time and informal workers may lose benefit from the work they do when doing so. Therefore, the researcher applied artificial intelligence to seek answers according to word groups based on word weight that classified symptoms, disease risk, and disease prevention guidelines for each occupation from diagnostic manuals. The system was developed to be compatible with the LINE application that is easily accessible. The evaluation of the system accuracy by experts had a total value of 86%. The evaluation of the overall system quality in 3 aspects had an average value of 4.24. It can be concluded that the developed system can be used in actual practice.","Dep. of Business Information Management, Phetchaburi Rajabhat University, Phetchaburi, Thailand; Dep. of Management Information System, King Mongkut’s University of Technology North Bangkok, Bangkok, Thailand",W. Yimyam; M. Ketcham,10.1109/ICCI54995.2022.9744143,978-1-6654-8619-4,,2022 International Conference on Cybernetics and Innovations (ICCI),2022,False
Use of Artificial Intelligence Smart Tools in Projects,"In recent years, artificial intelligence (AI) has gotten a lot of press and attention. Learning and adapting through constant algorithmic interventions aid in the development of a firm grasp of the situation at hand, as well as the handling of more difficult challenges as they arise. Cognitive psychology and knowledge-based applications engineering are at the heart of AI. AI-assisted quicker computing approaches are being used to address complex difficulties. Simultaneously, new, and more complicated issues emerge, which are difficult for the human mind to understand and envision, and which are far from being solved. Dynamic developments in global technical, economic, political, and environmental settings provide insurmountable challenges to corporate executives and strategists. Projects and project management are used to carry out business plans and government welfare goals. Throughout the project's timeframe, project managers must cope with restrictions. Regardless of methodology, predictive or iterative, the existence of various stakeholders and managing their requirements creates a slew of issues for the project manager and team. This paper aims to explain the existing industrial procedures employed by project managers that utilize AI principles. The author's aim is to set out obstacles and realistic alternatives for next generation project managers to apply AI in managing stakeholder expectations, resolving dissent and conflicts, and assuring flawless project delivery.","School of Management, CMR University, Bangalore, India",A. Lokhande,10.1109/ICSSS54381.2022.9782273,978-1-6654-9761-9,,2022 8th International Conference on Smart Structures and Systems (ICSSS),2022,False
Robotics and AI in Enhancing Banking Operations Efficiency,"The financial sector is experiencing a transformation as a result of the incorporation of AI and robotics into banking operations, which has improved accuracy, efficiency, and client satisfaction. The utilization of robotics, particularly robotic process automation (RPA), simplifies tasks such as data input, transaction processing, and compliance reporting. These operations are enhanced by artificial intelligence (AI) tools, such as machine learning and natural language processing, which enable well-informed decision-making, predictive modeling, and improved data analytics. This investigation investigates the numerous methods by which artificial intelligence (AI) and robotics are influencing the banking sector, particularly in terms of operational efficiency. It also offers a glimpse into the future prospects of this rapidly changing field.","Department of Mechanical Engineering, Shri Angalamman College of Engineering and Technology, Tiruchirappalli, Tamilnadu; Department of Electronics, MGSMS Arts Science and Commerce College, Jalgaon; UKS Institute of Management Studies and Research, Mumbai; Kishinchand Chellaram College, Mumbai; Department of Journalism & Mass Communication, SMeH, Manav Rachna International Institute of Research and Studies, Haryana, India; Finance Finance and Banking Department, Kerbala University, Iraq",A. M; K. D. Gaikwad; M. Dharmani; R. Nathani; R. Joshi; M. F. Hasan,10.1109/IC3TES62412.2024.10877528,979-8-3503-6469-9,,2024 Second International Conference Computational and Characterization Techniques in Engineering & Sciences (IC3TES),2024,False
Enhancing Guest Experience and Operations Efficiency in Homestays Through Artificial Intelligence: A Conceptual Framework,"Artificial intelligence (AI) in homestays could improve the tourist experience and operational efficiency. This article proposes a comprehensive conceptual framework for AI in homestays, encompassing visitor experience enhancement, personalized suggestions, predictive analytics, inventory management, maintenance scheduling, and data analytics. AI algorithms allow homestay owners to make personalized recommendations for activities, local sights, and meals. AI-powered home automation systems let guests customize lighting, temperature, and entertainment. AI-powered chatbots and virtual assistants help visitors with questions and requests. Predictive analytics models help operators optimize pricing, estimate demand, and allocate resources, improving revenue management and operational efficiency. AI-based inventory management systems optimize inventory levels, reduce waste, and ensure supplies. Proactive maintenance using AI lowers downtime and enhances the visitor experience. AI-enabled data analytics systems measure occupancy rates, revenue, and visitor satisfaction in real time for informed decision-making and ongoing development. AI in homestays must handle ethical issues including openness, fairness, and accountability, as well as privacy and data security. Cost, technological knowledge, and user approval are other challenges. This article concludes that AI technology in homestays can improve tourist experiences and operational efficiency. Future research should address ethical, privacy, and implementation issues to fully fulfill AI's transformational potential in homestays.","Amity Institute of Travel and Tourism Amity University Uttar Pradesh, Uttar Pradesh, India; Department of Law, Lloyd Law College, Greater Noida, India; Department of Computer Science and Engineering, Amity University Uttar Pradesh, Uttar Pradesh, India; Department of Law, Lloyd Law College, Greater Noida, Uttar Pradesh, India; Department of Electronics and Communication Engineering, Amity University Uttar Pradesh, Uttar Pradesh, India; Department of Pharmacy Lloyd, Institute of Management and Technology, Greater Noida",R. Semwal; Anil; S. A. Yadav; R. C. Madhav; S. Sharma; P. Srivastava,10.1109/IC3I59117.2023.10397884,979-8-3503-0448-0,,2023 6th International Conference on Contemporary Computing and Informatics (IC3I),2023,False
Design of Real-Time Feedback System of Man-Machine Collaboration and K-Nearest Neighbor Algorithm in Online Education Environment,"In online education, there is insufficient learning guidance and help for students. In essence, the learning environment of online education students is still around the online teaching platform, which has caused great obstacles to learners. It is very important to provide necessary learning guidance and help for online educators in learning support services. In this paper, aiming at the practical problems in teaching, taking man-machine collaboration as the starting point, an analysis system of man-machine collaboration teaching in artificial intelligence environment is established to solve the teaching analysis problem in open teaching. In this paper, a real-time feedback system of man-machine collaboration and K-nearest neighbor algorithm is designed and developed. Students can observe, learn, realize and verify the theoretical algorithms they have learned, and explore and study new improved methods. The system is convenient for teaching students in accordance with their aptitude, and provides students with a space for in-depth study and creative thinking. After adopting the system, the proportion of students' scores below 70 is 14.9%, and the proportion of 70–80 scores is 26.2%. The system in this paper is helpful to improve students' scores.","SLIC Business School, Shanghai University, Shanghai, China",X. Gong,10.1109/ICAPC61546.2023.00113,979-8-3503-5924-4,,2023 International Conference on Applied Physics and Computing (ICAPC),2023,False
Implementing HR Management System with an AI Powered ChatBot,"Human Resource (HR) management is one important section that increases the success of an organization to handle some important functions like employee data manipulation, attendance tracking, payroll processing, and performance evaluation. With the management of these processes becoming key to the success of small-scale startups, it poses a very big challenge for many of them to be able to manage these processes efficiently and cost efficient. By contrast, the old era of traditional HR systems was based on database driven architectures that are expensive in terms of operational cost, require storage space and complex infrastructural needs. These limitations often make traditional HR systems impossible for a startup that would prefer lightweight, affordable, and scalable solutions. Startups need robust platforms to streamline HR work streams, but often lack with financial resources for building complex database driven systems. In this paper, an AI powered HR management system is developed to simplify employee management processes for small scale startups. In this system. cache memory is used instead of traditional databases, thereby the operational cost of the system will be reduced for storage and retrieval of employee details. Automated Attendance Management enhanced with Face Recognition technology, Payroll Management, Leave Management, Feedback Submission modules are included. It is integrated with an AI powered chatbot, which facilitates a smooth interaction by the employees with query for information, submit leave requests and pull up all payroll information etc. A user friendly dashboard for a consolidated view of employee profiles, attendance records, leave approvals, and payroll data can be served over an optimized and time efficient HR workflow. This system addresses the needs of the startups such as flexible usage, cost effective operations and improved resource management.","Dept. of Computer Science and Engineering, Sathyabama Institute of Science and Technology, Chennai, Tamil Nadu; Dept. of Computer Science and Engineering, Sathyabama Institute of Science and Technology, Chennai, Tamil Nadu; Dept. of Computer Science and Engineering, Sathyabama Institute of Science and Technology, Chennai, Tamil Nadu; Dept. of Computer Science and Engineering, Sathyabama Institute of Science and Technology, Chennai, Tamil Nadu; Dept. of Computer Science and Engineering, Sathyabama Institute of Science and Technology, Chennai, Tamil Nadu; Dept. of Computer Science and Engineering, Sathyabama Institute of Science and Technology, Chennai, Tamil Nadu",D. Susitra; P. G; K. JD; K. Dhanalakshmi; B. S. Ahamed; S. G. J,10.1109/IDCIOT64235.2025.10915116,979-8-3315-2754-9,,2025 3rd International Conference on Intelligent Data Communication Technologies and Internet of Things (IDCIoT),2025,False
Psychological Aspects of AI Enhanced Learning Experiences,"Artificial Intelligence (AI) is transforming the educational landscape by offering personalized learning experiences that cater to individual student needs. This report delves into the psychological aspects of AI -enhanced learning experiences, focusing on their impact on student motivation, engagement, cognitive load, and emotional well-being. By analyzing various case studies and existing literature, we explore the benefits and challenges associated with integrating AI into educational settings. The findings indicate that AI-driven tools can significantly enhance motivation and engagement by providing tailored learning paths and real-time, relevant feedback. Additionally, AI can help manage cognitive load and offer emotional support, fostering a supportive and effective learning environment. However, challenges such as dependency on technology, data privacy concerns, and potential stress must be addressed to fully harness the benefits of AI in education. This report underscores the importance of strategic implementation and continuous evaluation of AI tools to ensure they contribute positively to students' psychological well-being and academic success.","College of Engineering, The University of Newcastle, Australia; Engineering Cluster, Singapore Institute of Technology, Singapore; College of Engineering, The University of Newcastle, Australia; College of Engineering, The University of Newcastle, Australia; Engineering Product Development, Singapore University of Technology and Design",C. L. Kok; C. K. Ho; Y. Y. Koh; J. B. Wen Heng; T. H. Teo,10.1109/TENCON61640.2024.10902839,979-8-3503-5082-1,2159-3450,TENCON 2024 - 2024 IEEE Region 10 Conference (TENCON),2024,False
Enhancing Sales Forecasting Accuracy through Integrated Enterprise Resource Planning and Customer Relationship Management using Artificial Intelligence,"Sales forecasting accuracy is crucial for businesses to allocate resources, manage inventory, and streamline operations efficiently. However, traditional forecasting methods often struggle to adapt to the dynamic nature of consumer behaviour and market trends. This paper explores the potential of enhancing sales forecasting accuracy through the integration of Enterprise Resource Planning (ERP) and Customer Relationship Management (CRM) systems combined with Artificial Intelligence (AI) techniques. Businesses can gain deeper insights into customer behaviour, preferences, and market dynamics by harnessing AI algorithms, such as machine learning and predictive analytics, coupled with data from ERP and CRM systems. This integrated approach improves sales forecasts’ accuracy and facilitates proactive decision-making, personalized marketing strategies, and enhanced customer engagement. This paper delves into the theoretical foundations and practical implications of implementing such an integrated system through a comprehensive review of relevant studies and case studies. Additionally, it provides actionable recommendations for businesses looking to adopt this approach to optimize their sales forecasting processes and gain a competitive edge in today’s dynamic market environment.","Confiance Tech Solutions, Los Angeles, California, USA; NA",A. Gupta; P. Agarwal,10.1109/AIIoT58432.2024.10574785,979-8-3503-7212-0,,2024 3rd International Conference on Artificial Intelligence For Internet of Things (AIIoT),2024,False
Design of Data Application Risk Prediction and Management System Based on Machine Learning Algorithms,"In recent years, data security has become the most urgent and fundamental security issue in the digital economy era. How to effectively build and improve data security protection capabilities, and avoid the occurrence of data leakage events, is currently a very important issue of concern. This article takes engineering as an example, predicts data application risks based on ML (Machine Learning) algorithm, and designs a management system. The main functions of the system designed in this article include risk analysis and calculation throughout the entire engineering process; Establish a risk information sharing platform for dynamic risk management and control of engineering, including risk identification, risk estimation, risk evaluation and decision-making, and risk tracking. The experimental results indicate that the prediction results of GNN (Grey neural network) PSO (Particle Swarm Optimization) are unreliable and fail to learn the inherent patterns of the data. Finally, the predicted values of SVM (Support Vector Machine) in this article almost match the actual values, indicating that SVM in this article has the best performance in engineering risk prediction. Utilizing monitoring data, inspection information, and relevant risk management records, dynamic tracking and real-time control of environmental risks or safety status during the construction process, timely warning consultation, information feedback, and response processing, is an extremely important part of comprehensive environmental risk management.","State Grid Changzhou Electric Power Supply Company, Changzhou, Jiangsu, China; State Grid Changzhou Electric Power Supply Company, Changzhou, Jiangsu, China; State Grid Changzhou Electric Power Supply Company, Changzhou, Jiangsu, China",S. Wang; X. Yang; Y. Lu,10.1109/TELEPE64216.2024.00153,979-8-3503-6921-2,,2024 International Conference on Telecommunications and Power Electronics (TELEPE),2024,False
"Next-Generation CRM: AI, IoT, and the Future of Customer Relationship Management","Customer relationship management helps an organisation for handling the customers and management of customer data to achieve healthy relationship with the customers. Integration of data from various sources including sales marketing and customer service applications. CRM is capable of storing enormous customer data for best better understanding of their customers for better understanding of the customers. Smart devices equipped with artificial intelligence and Internet of things serves as next generation CRM. It can be used as wearable devices for real time access of services and products related information anytime anywhere for getting the data of customers related to health indicator, activities, fitness details, location and purchase interest. Artificial intelligence, Internet of Things and machine learning are the future of customer relationship management to replace human intelligence. The advancements in technologies increase the efficiency of CRM software. The system manages the contact details and other data of the customers automatically. CRM manages the purchases, submissions of forms and emails. The trained model takes the collected data, sales records for pattern identification.","Department of EEE, School of Engineering, SR University, Warangal, Telangana, India; Department of Management Studies, Sri Venkateswara College of Engineering, (Autonomous), Tirupati, AP; Westcliff University, Irvine, CA, USA; Department of MBA, St. Joseph's College of Engineering, Chennai; Marketing, Indira School of Business Studies PGDM, Pune, Maharashtra; Department of Commerce and Management, RNB Global University Bikaner",B. Sathyavani; N. Bala Kalyan; D. Reddy Peddinti; K. R; V. Bihade; A. Tiwari,10.1109/ICPCT64145.2025.10940899,979-8-3315-0868-5,,2025 International Conference on Pervasive Computational Technologies (ICPCT),2025,False
Implementation Challenge of Artificial Intelligence in Human Resource Management for Employee Performance Monitoring Indonesia Companies Perspective,"The main problem solved is to Improve Employee Performance Monitoring by Integrating Artificial Intelligence (AI) in Human Resource Management for Indonesian Companies. The paper suggests using AI technologies to analyze and process employee performance data. The overarching goal of this new approach is to identify patterns and red flags at the individual and team levels that can be used to inform stronger performance management strategies such as guided coaching, pointed feedback, or calibrated evaluations. This study is written as a schematic literature review, using sourced research articles from Indonesia and other countries to obtain the effects of AI on employee performance. This exercise showed how AI works in performance patterns and assists HR strategies. The findings AI has an impact on recognizing patterns in empirical data of how employees perform, helps to tailor training/development programs, and improves talent management and succession planning. Those results signify that AI has the potential to be a game-changer for HR practices in Indonesia. AI in HRM using employee performance monitoring seems an encouraging alternative for Indonesia. Through data-driven decision-making and automated HR routine tasks with many challenges and should prepare well to implement.","Doctoral Program of Management, Brawijaya University, Jakarta Campus, Indonesia; Doctoral Program of Information Systen, Diponegoro University, Semarang, Indonesia; Res. Center for Data and Information Science, National Research and Innovation Agency, Bandung, Indonesia",E. Y. Wirawan; M. Gusan Putra; B. Nugroho,10.1109/ICISS62896.2024.10751025,979-8-3503-8965-4,,2024 International Conference on ICT for Smart Society (ICISS),2024,False
Application of Artificial Intelligence in E-Marketing,"Digital Markets, the market is growing and developing, and customers now have an almost infinite number of new shopping possibilities. Customers use a multitude of channels and platforms to communicate their needs, attitudes, and opinions as the need for exceptional customer experience increases throughout the entire digital journey. Artificial intelligence makes it possible to deliver personalized content while enhancing the online experience (simulated intelligence). This seemingly infinite pool of information that buyers have chosen is expanding. To obtain the data and exploit it, many marketers deploy simulated intelligence. Businesses may obtain and track precise real-time customer data with the help of artificial intelligence, and they can use this data to develop distinctive digital marketing strategies. the current and future relationships between computer science and marketing science, two different yet related fields of study. There are numerous scientific distributions on artificial intelligence (intelligence based on computers) in various fields. This amount is still insignificant in terms of digital marketing difficulties. There are several possible uses for artificial intelligence research in the field of marketing science. It stays away from being more closely tied to the particular marketing concerns that the corporate world is more aware of, such as customer behaviour through virtual entertainment, targeted commercials, virtual entertainment marketing, conversion streamlining, and predictive models that specifically handle digital marketing and artificial intelligence (man-made intelligence)","Department of Business Management, VignanaBharathi Institute of Technology, Hyderabad, Indian; Department of Management Studies, Anna University Regional Campus, Tirunelveli, Tamilnadu, India; Dr.Ambedkar Institute of management studies and research, Deekshbhoomi Nagpur; Sushant University, Gurugram; Department of Management Studies, Directorate of Distance Education Madurai Kamaraj University, Madurai, Tamilnadu, India; Centre for Tourism and Hotel management, Madurai Kamaraj University, Madurai, Tamil Nadu, India",S. Hari Krishna; S. S. Sargunam; N. Kulkarni; N. Nandal; V. Vidya Chellam; S. Praveenkumar,10.1109/ICECONF57129.2023.10084011,979-8-3503-3436-4,,2023 International Conference on Artificial Intelligence and Knowledge Discovery in Concurrent Engineering (ICECONF),2023,False
Research on the Impact and Mechanism of Artificial Intelligence on Consumption Upgrading,"As the only way to comprehensively expand domestic demand, consumption upgrading gradually reflects the impact and mechanism of consumption upgrading with the development of artificial intelligence technology. The role of mechanism evaluation in consumption structure under artificial intelligence is very important, but there is a problem of inaccurate outcome evaluation. The traditional consumption model cannot solve the problem of evaluation of the mechanism of consumption structure under artificial intelligence, and the evaluation is unreasonable. Therefore, this paper proposes a data mining algorithm to evaluate and analyze the mechanism of optimization and innovation. Firstly, the relative income consumption theory is used to evaluate the consumer market, and the indicators are divided according to the requirements of the mechanism evaluation to reduce the interference factors in the evaluation of the mechanism. Then, the relative income consumption theory evaluates the mechanism of consumption upgrading level, forms a mechanism evaluation scheme, and comprehensively analyzes the evaluation results of the mechanism. MATLAB simulation shows that under certain evaluation criteria, the evaluation accuracy of the mechanism of data mining algorithms on the level of consumption upgrading and the quality of consumption structure transformation and upgrading are better than those of traditional consumption patterns.","Guangzhou City University of Technology, Guangzhou, Guangdong Province, China; Guangzhou City University of Technology, Guangzhou, Guangdong Province, China",J. Zhu; X. Chen,10.1109/ICITEICS61368.2024.10625343,979-8-3503-8269-3,,"2024 IEEE International Conference on Information Technology, Electronics and Intelligent Communication Systems (ICITEICS)",2024,False
Research on personalized learning path recommendation model of artificial intelligence in new business,"Due to the flourishing expansion of online education, students' appetite for individualized learning experiences has significantly intensified. Consequently, we introduce a model that utilizes machine learning to recommend personalized learning paths. The model incorporates several algorithms such as collaborative filtering, content recommendation and reinforcement learning. First, we use collaborative filtering algorithms to analyze students' learning behavior data to identify users with similar interests and academic backgrounds. Then, through the content recommendation algorithm, we dynamically adjust the recommendation results according to the course characteristics and students' learning preferences. Finally, the reinforcement learning algorithm plays a role in optimizing the long-term learning path in the model, and constantly improves the recommendation strategy through real-time feedback. In the experiment, we used multiple real learning platform data sets for validation. The results show that the model has excellent performance in improving students' learning effect and satisfaction, and can effectively recommend learning paths that meet individual needs. Our research provides new ideas and methods for personalized learning of new business education, and promotes the deep integration of education and artificial intelligence.","Guangxi Vocational Normal University, Guangxi, China; Guangxi Vocational Normal University, Guangxi, China",K. Liang; J. You,10.1109/ISPCEM64498.2024.00143,979-8-3315-2867-6,,"2024 4th International Signal Processing, Communications and Engineering Management Conference (ISPCEM)",2024,False
An immersive situational group learning system with body movement and emotion recognition combined with subject knowledge,"In the current digital situational learning, such as digital game-based learning or Second Life, learners use virtual characters to enter the situational learning, instead of using their own bodies. In addition, many subject matters requiring situational learning need a combination of subject knowledge, body language, and emotional expression, and require students to conduct group learning. However, most of the current situational systems can only provide evaluation and feedback on text or language, and cannot provide feedback on body movements and emotional expressions. To address these issues, this study establishes a situational learning system that enables students to enter the learning situation with their whole body and in small groups. Furthermore, the cognitive services of artificial intelligence are also adopted to conduct immediate evaluation and feedback on students’ learning performance, such as language, body movement, and emotional display, and students’ learning outcomes can be displayed in front of their peers. The experimental results show that the proposed situational learning system can improve students’ learning effect for subject matters that need to combine body movements and emotional expression.","Computer Science and Information Engineering Department, National Central University, Taoyuan, Taiwan; Computer Science and Information Engineering Department, National Central University, Taoyuan, Taiwan; Computer Science and Information Engineering Department, National Central University, Taoyuan, Taiwan; Research Center for Science and Technology for Learning, National Central University, Taoyuan, Taiwan; Department of Hospitality Management, Chien Hsin University of Science and Technology, Taoyuan, Taiwan",M. -X. Xie; Y. -W. Wu; G. -D. Chen; J. -H. Wang; S. -H. Yang,10.1109/ICALT55010.2022.00094,978-1-6654-9519-6,2161-377X,2022 International Conference on Advanced Learning Technologies (ICALT),2022,False
Research on Innovative Application of Machine Learning Algorithm in Performance Evaluation System of Artificial Intelligence,"This paper discusses the design of a machine learning algorithm based on multi-indicator decision making to improve the accuracy and efficiency of performance evaluation. Firstly, an ensemble learning framework is proposed to solve the inherent complexity and uncertainty in performance evaluation by integrating multiple machine learning models. The framework is capable of processing large volumes of heterogeneous data while considering multiple metrics, including but not limited to sales performance, team collaboration, customer satisfaction, and innovation. In order to verify the effectiveness of the proposed algorithm, a set of comprehensive model simulation experiments are designed in this paper. The experiments were conducted on multiple real-world data sets, covering different industry and organization sizes. Simulation results show that compared with traditional evaluation methods, the proposed algorithm can significantly improve the accuracy and fairness of evaluation, and reduce the subjective bias in the evaluation process. In addition, through comparative analysis, it is found that ensemble learning method has better generalization ability and robustness when dealing with large-scale data. The research in this paper not only provides a theoretical basis for the innovation of performance evaluation system, but also provides practical guidance for organizations to implement a more intelligent and objective evaluation process in practical applications.","Guangxi Vocational Normal University, Nanning, China",Y. Chen,10.1109/ICEDCS64328.2024.00200,979-8-3315-2762-4,,"2024 International Conference on Electronics and Devices, Computational Science (ICEDCS)",2024,False
