document title,abstract,author affiliations,authors,doi,isbns,issn,publication title,publication year,relevant_llama3,relevant_gemma3,relevant_phi4,relevant,abstract_pp,exclude
Implementation of an automated grading tool for phonetic transcription training,"Clinical phonetic transcription is regarded as a highly specialised skill requiring hours of practice for mastery. Although this skill is a critical part of students’ clinical preparation to become speech-language pathologists, students often report feeling unprepared to apply the skill in clinical practice. Previous studies suggest that increased opportunities for practice and timely feedback on transcriptions are needed in order to develop skill confidence. However, providing more opportunities for practice can be impeded by the limited resources to manage the grading of additional assignments. The purpose of this study is to show the implementation of a web-based learning management system (LMS) designed in our labs for phonetics instruction. The Automated Phonetic Transcription Grading Tool (APTgt LMS) was developed to provide a platform for assignment delivery and automated grading of transcription assignments. The APTgt LMS has three embedded IPA keyboards (basic, advanced, and full IPA) and an automated edit distance algorithm modified by phonetic alignment principles, which allows for individualised scoring and visual course-level feedback in an interactive online environment. For pilot testing, student confidence was queried before and after practice opportunities using APTgt. A concurrent mixed methods research design was used to analyse four Likert scale and three open-ended questions. Student confidence in transcribing disordered speech was found to significantly increase (p <0.001) following additional practice. Students reported concerns related to accurate transcription of disordered speech and that additional practice is still needed. Tools like APTgt can aid in facilitating student learning and increasing student confidence in applied transcription. © 2022 Taylor & Francis Group, LLC.","Speights Atkins, Marisha Roxelyn and Richard Pepper Department of Communication Sciences and Disorders, Northwestern University, Evanston, IL, United States; Bailey, Dallin J. Departement of Speech, Language, and Hearing Sciences, Auburn University, Auburn, AL, United States; Seals, Cheryl D. Department of Computer Science and Software Engineering, Auburn University, Auburn, AL, United States","Speights Atkins, Marisha and Bailey, Dallin J. and Seals, Cheryl D.",10.1080/02699206.2022.2048314,UNKNOWN,02699206,Clinical Linguistics and Phonetics,2023,True,True,False,True,"Clinical phonetic transcription is regarded as a highly specialised skill requiring hours of practice for mastery. Although this skill is a critical part of students’ clinical preparation to become speech-language pathologists, students often report feeling unprepared to apply the skill in clinical practice. Previous studies suggest that increased opportunities for practice and timely feedback on transcriptions are needed in order to develop skill confidence. However, providing more opportunities for practice can be impeded by the limited resources to manage the grading of additional assignments. The purpose of this study is to show the implementation of a web-based learning management system (LMS) designed in our labs for phonetics instruction. The Automated Phonetic Transcription Grading Tool (APTgt LMS) was developed to provide a platform for assignment delivery and automated grading of transcription assignments. The APTgt LMS has three embedded IPA keyboards (basic, advanced, and full IPA) and an automated edit distance algorithm modified by phonetic alignment principles, which allows for individualised scoring and visual course-level feedback in an interactive online environment. For pilot testing, student confidence was queried before and after practice opportunities using APTgt. A concurrent mixed methods research design was used to analyse four Likert scale and three open-ended questions. Student confidence in transcribing disordered speech was found to significantly increase (p <0.001) following additional practice. Students reported concerns related to accurate transcription of disordered speech and that additional practice is still needed. Tools like APTgt can aid in facilitating student learning and increasing student confidence in applied transcription. © 2022 Taylor & Francis Group, LLC.",False
"Systemic safety inequities for people with learning disabilities: a qualitative integrative analysis of the experiences of English health and social care for people with learning disabilities, their families and carers","Background: Failures in care for people with learning disabilities have been repeatedly highlighted and remain an international issue, exemplified by a disparity in premature death due to poor quality and unsafe care. This needs urgent attention. Therefore, the aim of the study was to understand the care experiences of people with learning disabilities, and explore the potential patient safety issues they, their carers and families raised. Methods: Two data sources exploring the lived experience of care for people with learning disabilities were synthesised using an integrative approach, and explored using reflexive thematic analysis. This comprised two focus groups with a total of 13 people with learning disabilities and supportive staff, and 377 narratives posted publicly via the feedback platform Care Opinion. Results: The qualitative exploration highlighted three key themes. Firstly, health and social care systems operated with varying levels of rigidity. This contributed to an inability to effectively cater to; complex and individualised care needs, written and verbal communication needs and needs for adequate time and space. Secondly, there were various gaps and traps within systems for this population. This highlighted the importance of care continuity, interoperability and attending to the variation in support provision from professionals. Finally, essential ‘dependency work’ was reliant upon social capital and fulfilled by paid and unpaid caring roles to divergent extents, however, advocacy provided an additional supportive safety net. Conclusions: A series of safety inequities have been identified for people with learning disabilities, alongside potential protective buffers. These include; access to social support and advocacy, a malleable system able to accommodate for individualised care and communication needs, adequate staffing levels, sufficient learning disabilities expertise within and between care settings, and the interoperability of safety initiatives. In order to attend to the safety inequities for this population, these factors need to be considered at a policy and organisational level, spanning across health and social care systems. Findings have wide ranging implications for those with learning disabilities, their carers and families and health and social care providers, with the potential for international learning more widely. © 2022, The Author(s).","Ramsey, Lauren Bradford Institute for Health Research, Bradford Teaching Hospitals NHS Foundation Trust, Bradford, United Kingdom; Albutt, Abigail NIHR Yorkshire and Humber Patient Safety Translational Research Centre, Bradford, United Kingdom; Perfetto, Kayley Bradford Institute for Health Research and NIHR Yorkshire and Humber Patient Safety Translational Research Centre, Bradford, United Kingdom; Quinton, Naomi Queen’s University, 9 University Avenue, Kingston, ON, Canada; Baker, John Leeds Institute of Medical Education, University of Leeds, Leeds, United Kingdom; Louch, Gemma School of Healthcare, University of Leeds, Leeds, United Kingdom; O’Hara, Jane School of Healthcare University of Leeds UK and Theme Lead of Patient Involvement in Patient Safety NIHR Yorkshire and Humber Patient Safety Translational Research Centre, Leeds, United Kingdom","Ramsey, Lauren and Albutt, Abigail and Perfetto, Kayley and Quinton, Naomi and Baker, John and Louch, Gemma and O’Hara, Jane",10.1186/s12939-021-01612-1,UNKNOWN,14759276,International Journal for Equity in Health,2022,True,True,False,True,"Background: Failures in care for people with learning disabilities have been repeatedly highlighted and remain an international issue, exemplified by a disparity in premature death due to poor quality and unsafe care. This needs urgent attention. Therefore, the aim of the study was to understand the care experiences of people with learning disabilities, and explore the potential patient safety issues they, their carers and families raised. Methods: Two data sources exploring the lived experience of care for people with learning disabilities were synthesised using an integrative approach, and explored using reflexive thematic analysis. This comprised two focus groups with a total of 13 people with learning disabilities and supportive staff, and 377 narratives posted publicly via the feedback platform Care Opinion. Results: The qualitative exploration highlighted three key themes. Firstly, health and social care systems operated with varying levels of rigidity. This contributed to an inability to effectively cater to; complex and individualised care needs, written and verbal communication needs and needs for adequate time and space. Secondly, there were various gaps and traps within systems for this population. This highlighted the importance of care continuity, interoperability and attending to the variation in support provision from professionals. Finally, essential ‘dependency work’ was reliant upon social capital and fulfilled by paid and unpaid caring roles to divergent extents, however, advocacy provided an additional supportive safety net. Conclusions: A series of safety inequities have been identified for people with learning disabilities, alongside potential protective buffers. These include; access to social support and advocacy, a malleable system able to accommodate for individualised care and communication needs, adequate staffing levels, sufficient learning disabilities expertise within and between care settings, and the interoperability of safety initiatives. In order to attend to the safety inequities for this population, these factors need to be considered at a policy and organisational level, spanning across health and social care systems. Findings have wide ranging implications for those with learning disabilities, their carers and families and health and social care providers, with the potential for international learning more widely. © 2022, The Author(s).",False
Educational Process Mining for Discovering Students' Problem-Solving Ability in Computer Programming Education,"Educational process mining is now a promising method to provide decision-support information for the teaching-learning process via finding useful educational guidance from the event logs recorded in the learning management system. Existing studies mainly focus on mining students' problem-solving skills or behavior patterns and intervening in students' learning processes according to this information in the late course. However, educators often expect to improve the learning outcome in a proactive manner through dynamically designing instructional strategies prior to a course that are more appropriate to students' average ability. Therefore, in this article, we propose a two-stage problem-solving ability modeling approach to obtain students' ability in different learning stages, including the pre-problem-solving ability model and the post-problem-solving ability model. The models are trained with Gradient Boosting Decision Tree (GBDT) on the historical event logs of the prerequisite course and the target course, respectively. With the premodel, we establish the students' pre-problem-solving ability profiles that reflect their average knowledge level before starting a course. Then, the instructional design is dynamically chosen according to the profiles. After a course completes, the post-problem-solving ability profiles are generated by the postmodel to analyze the learning outcome and prompt the learning feedback, in order to complete the closed-loop teaching process. We study the modeling of coding ability in computer programming education to show our teaching strategy. The experimental results show that the generalizable problem-solving ability models yield high classification precision, while most students' abilities have been significantly improved by the proposed approach at the end of the course. © 2022 IEEE.","Liu, Fang School of Computer Science, Shenyang Aerospace University, Shenyang, 110136, China; Zhao, Liang Tencent Technology Co. Ltd., Shenzhen, 518052, China; Zhao, Jiayi College of Information, Shenyang Institute of Engineering, Shenyang, 110136, China; Dai, Qin School of Computing and Information Technology, Faculty of Engineering and Information Sciences, University of Wollongong, Wollongong, 2522, NSW, Australia","Liu, Fang and Zhao, Liang and Zhao, Jiayi and Dai, Qin and Fan, Chunlong and Shen, Jun",10.1109/TLT.2022.3216276,UNKNOWN,19391382,IEEE Transactions on Learning Technologies,2022,True,True,False,True,"Educational process mining is now a promising method to provide decision-support information for the teaching-learning process via finding useful educational guidance from the event logs recorded in the learning management system. Existing studies mainly focus on mining students' problem-solving skills or behavior patterns and intervening in students' learning processes according to this information in the late course. However, educators often expect to improve the learning outcome in a proactive manner through dynamically designing instructional strategies prior to a course that are more appropriate to students' average ability. Therefore, in this article, we propose a two-stage problem-solving ability modeling approach to obtain students' ability in different learning stages, including the pre-problem-solving ability model and the post-problem-solving ability model. The models are trained with Gradient Boosting Decision Tree (GBDT) on the historical event logs of the prerequisite course and the target course, respectively. With the premodel, we establish the students' pre-problem-solving ability profiles that reflect their average knowledge level before starting a course. Then, the instructional design is dynamically chosen according to the profiles. After a course completes, the post-problem-solving ability profiles are generated by the postmodel to analyze the learning outcome and prompt the learning feedback, in order to complete the closed-loop teaching process. We study the modeling of coding ability in computer programming education to show our teaching strategy. The experimental results show that the generalizable problem-solving ability models yield high classification precision, while most students' abilities have been significantly improved by the proposed approach at the end of the course. © 2022 IEEE.",False
An exploration of teacher and student perceptions of blended learning in four secondary mathematics classrooms,"The COVID-19 pandemic forced many teachers around the world to make a sudden switch from face-to-face to online teaching. This shift in practice has provided an opportunity to reconsider how technology use in mathematics education can be utilised to improve student engagement. In this study, we explore four case studies of Australian secondary mathematics classrooms conducted prior to the COVID-19 pandemic to examine how teachers are using blended learning approaches and how their students perceive these pedagogical practices. Findings across all four sites indicate that technology use expands student opportunities to engage with mathematics learning through the provision of multiple pathways and methods of access. Specifically, we find evidence supporting the use of blended classroom teaching strategies to provide differentiation and personalised learning approaches; visualisation and dynamic manipulation of mathematics concepts; and alternative methods for teacher-student feedback and communication. We argue that the student learning experience in mathematics can be enhanced through a variety of blended learning approaches by allowing for diverse points of access to learning opportunities which are more closely aligned to individual learning needs and free from the temporal constraints of the classroom. © 2020, The Author(s).","Attard, Catherine Centre for Educational Research, Western Sydney University, Sydney, Australia","Attard, Catherine and Holmes, Kathryn",10.1007/s13394-020-00359-2,UNKNOWN,10332170,Mathematics Education Research Journal,2022,False,True,True,True,"The COVID-19 pandemic forced many teachers around the world to make a sudden switch from face-to-face to online teaching. This shift in practice has provided an opportunity to reconsider how technology use in mathematics education can be utilised to improve student engagement. In this study, we explore four case studies of Australian secondary mathematics classrooms conducted prior to the COVID-19 pandemic to examine how teachers are using blended learning approaches and how their students perceive these pedagogical practices. Findings across all four sites indicate that technology use expands student opportunities to engage with mathematics learning through the provision of multiple pathways and methods of access. Specifically, we find evidence supporting the use of blended classroom teaching strategies to provide differentiation and personalised learning approaches; visualisation and dynamic manipulation of mathematics concepts; and alternative methods for teacher-student feedback and communication. We argue that the student learning experience in mathematics can be enhanced through a variety of blended learning approaches by allowing for diverse points of access to learning opportunities which are more closely aligned to individual learning needs and free from the temporal constraints of the classroom. © 2020, The Author(s).",False
Immersive Disaster Training Schema Based on Team Role-Playing,"The prevalence of inevitable natural and social disasters is increasing at an alarming rate. With the proliferation of media and Internet technologies, there is a growing awareness of the importance of disaster training. The paper aims to combine the techniques of immersive Virtual Reality (VR) and team-based role-playing to demonstrate a comprehensive disaster training schema to help participants practice safety skills and learn proper decision-making skills in the face of disasters. A VR dome and cylinder combined multidisplay system iwDome was used to immerse participants and provide a view of the overall training; the role of each team was presented through the appropriate Head Mounted Display (HMD) and connected desktop. Rather than just being passive spectators or game players, the participants received puzzles in the virtual scenario that required intra-team and inter-team collaboration to be solved. The scenarios applicable to the system were not restricted to a specific type of disaster, but could be customized, revealing significant application prospects. To test the motivation for improvement, a quality assessment and user experience survey were conducted. The results indicate that participants were more engaged through cooperation in the virtual training environment and could achieve greater learning gains. The correlation of age to user studies was also confirmed. The enhanced enthusiasm of participants for what is relatively standard disaster management demonstrates the promise of using team role-playing-based VR training for vital, but otherwise tedious disaster safety training. © 2022 by the authors.","Xu, Yanan KAIST Initiative for Disaster Studies, Korea Advanced Institute of Science and Technology (Kaist), Daejeon, 34141, South Korea; Dai, Yunhai Department of International Trade, NamSeoul University, Cheonan, 31020, South Korea","Xu, Yanan and Dai, Yunhai",10.3390/su141912551,UNKNOWN,20711050,Sustainability (Switzerland),2022,True,True,False,True,"The prevalence of inevitable natural and social disasters is increasing at an alarming rate. With the proliferation of media and Internet technologies, there is a growing awareness of the importance of disaster training. The paper aims to combine the techniques of immersive Virtual Reality (VR) and team-based role-playing to demonstrate a comprehensive disaster training schema to help participants practice safety skills and learn proper decision-making skills in the face of disasters. A VR dome and cylinder combined multidisplay system iwDome was used to immerse participants and provide a view of the overall training; the role of each team was presented through the appropriate Head Mounted Display (HMD) and connected desktop. Rather than just being passive spectators or game players, the participants received puzzles in the virtual scenario that required intra-team and inter-team collaboration to be solved. The scenarios applicable to the system were not restricted to a specific type of disaster, but could be customized, revealing significant application prospects. To test the motivation for improvement, a quality assessment and user experience survey were conducted. The results indicate that participants were more engaged through cooperation in the virtual training environment and could achieve greater learning gains. The correlation of age to user studies was also confirmed. The enhanced enthusiasm of participants for what is relatively standard disaster management demonstrates the promise of using team role-playing-based VR training for vital, but otherwise tedious disaster safety training. © 2022 by the authors.",False
Work in Progress: Improving Students' Achievement on Summative Exams in Large Undergraduate Engineering Classes: Taking Advantage of Online Formative Assessments,"Testing has been found to help students retain studied information as well as potentiate new learning. Anxiety associated with high-stake testing however hinders students' learning. Formative assessments are characterized by testing for the purpose of identifying and correcting misconceptions. These tests are completely optional and have no bearing on students' final grades, and hence address the concern of test anxiety. These characteristics make formative assessments as the most favorable intervention to help students' learning retention and hence achievement on summative exams. However, large class sizes, particularly in fundamental engineering courses, make it difficult for instructors to frequently administer formative assessments and provide personalized feedback to students. Recent advances in in educational technologies and learning management systems facilitate instructors to administer frequent formative assessments, evaluate students' learning and provide timely feedback. This research investigates the students' participation in completely optional, online formative assessments and its relationship with their achievement on summative exams in a large undergraduate Fundamentals of Electronics course. Sample includes of 820 students enrolled in the course over 7 semesters (spring 2018 - spring 2021). Data includes participation of students in 12 formative assessment quizzes with automatic conceptual feedback, and their scores on three midterm and one final (summative) exams. Preliminary findings suggest that female students had higher formative assessment participation (FAP) compared to male students. The analysis also showed significant positive correlations between students' FAP and their achievement on summative exams. Both FAP as well as its relationship with students' exam scores favored female students, however some of the relationships were not statistically significant. The lack of significance might be attributed to smaller group sizes of female participants. Future work includes a qualitative investigation to explore and understand reasons and motivations for differential FAP and its relationship with students' summative achievement. This study has implications for students' self-regulated and self-directed life-long learning. © American Society for Engineering Education, 2022.","Iqbal, Assad UNKNOWN","Iqbal, Assad and Lawanto, Oenardi",UNKNOWN,UNKNOWN,21535965,"ASEE Annual Conference and Exposition, Conference Proceedings",2022,False,True,True,True,"Testing has been found to help students retain studied information as well as potentiate new learning. Anxiety associated with high-stake testing however hinders students' learning. Formative assessments are characterized by testing for the purpose of identifying and correcting misconceptions. These tests are completely optional and have no bearing on students' final grades, and hence address the concern of test anxiety. These characteristics make formative assessments as the most favorable intervention to help students' learning retention and hence achievement on summative exams. However, large class sizes, particularly in fundamental engineering courses, make it difficult for instructors to frequently administer formative assessments and provide personalized feedback to students. Recent advances in in educational technologies and learning management systems facilitate instructors to administer frequent formative assessments, evaluate students' learning and provide timely feedback. This research investigates the students' participation in completely optional, online formative assessments and its relationship with their achievement on summative exams in a large undergraduate Fundamentals of Electronics course. Sample includes of 820 students enrolled in the course over 7 semesters (spring 2018 - spring 2021). Data includes participation of students in 12 formative assessment quizzes with automatic conceptual feedback, and their scores on three midterm and one final (summative) exams. Preliminary findings suggest that female students had higher formative assessment participation (FAP) compared to male students. The analysis also showed significant positive correlations between students' FAP and their achievement on summative exams. Both FAP as well as its relationship with students' exam scores favored female students, however some of the relationships were not statistically significant. The lack of significance might be attributed to smaller group sizes of female participants. Future work includes a qualitative investigation to explore and understand reasons and motivations for differential FAP and its relationship with students' summative achievement. This study has implications for students' self-regulated and self-directed life-long learning. © American Society for Engineering Education, 2022.",False
In situ bidirectional human-robot value alignment,"A prerequisite for social coordination is bidirectional communication between teammates, each playing two roles simultaneously: as receptive listeners and expressive speakers. For robots working with humans in complex situations with multiple goals that differ in importance, failure to fulfill the expectation of either role could undermine group performance due to misalignment of values between humans and robots. Specifically, a robot needs to serve as an effective listener to infer human users' intents from instructions and feedback and as an expressive speaker to explain its decision processes to users. Here, we investigate how to foster effective bidirectional human-robot communications in the context of value alignment-collaborative robots and users form an aligned understanding of the importance of possible task goals. We propose an explainable artificial intelligence (XAI) system in which a group of robots predicts users' values by taking in situ feedback into consideration while communicating their decision processes to users through explanations. To learn from human feedback, our XAI system integrates a cooperative communication model for inferring human values associated with multiple desirable goals. To be interpretable to humans, the system simulates human mental dynamics and predicts optimal explanations using graphical models. We conducted psychological experiments to examine the core components of the proposed computational framework. Our results show that real-time human-robot mutual understanding in complex cooperative tasks is achievable with a learning model based on bidirectional communication. We believe that this interaction framework can shed light on bidirectional value alignment in communicative XAI systems and, more broadly, in future human-machine teaming systems.  © 2022 The Authors.","Yuan, Luyao Department of Computer Science, University of California Los Angeles, Los Angeles, 90095, CA, United States; Gao, Xiaofeng Department of Statistics, University of California Los Angeles, Los Angeles, 90095, CA, United States; Zheng, Zilong Beijing Institute for General Artificial Intelligence (BIGAI), Beijing, 100080, China; Edmonds, Mark Department of Cognitive Science, University of California San Diego, San Diego, 92093, CA, United States; Wu, Ying Nian Department of Psychology, University of California Los Angeles, Los Angeles, 90095, CA, United States; Rossano, Federico Institute for Artificial Intelligence, Peking University, Beijing, 100871, China","Yuan, Luyao and Gao, Xiaofeng and Zheng, Zilong and Edmonds, Mark and Wu, Ying Nian and Rossano, Federico and Lu, Hongjing and Zhu, Yixin and Zhu, Song-Chun",10.1126/scirobotics.abm4183,UNKNOWN,24709476,Science Robotics,2022,True,True,False,True,"A prerequisite for social coordination is bidirectional communication between teammates, each playing two roles simultaneously: as receptive listeners and expressive speakers. For robots working with humans in complex situations with multiple goals that differ in importance, failure to fulfill the expectation of either role could undermine group performance due to misalignment of values between humans and robots. Specifically, a robot needs to serve as an effective listener to infer human users' intents from instructions and feedback and as an expressive speaker to explain its decision processes to users. Here, we investigate how to foster effective bidirectional human-robot communications in the context of value alignment-collaborative robots and users form an aligned understanding of the importance of possible task goals. We propose an explainable artificial intelligence (XAI) system in which a group of robots predicts users' values by taking in situ feedback into consideration while communicating their decision processes to users through explanations. To learn from human feedback, our XAI system integrates a cooperative communication model for inferring human values associated with multiple desirable goals. To be interpretable to humans, the system simulates human mental dynamics and predicts optimal explanations using graphical models. We conducted psychological experiments to examine the core components of the proposed computational framework. Our results show that real-time human-robot mutual understanding in complex cooperative tasks is achievable with a learning model based on bidirectional communication. We believe that this interaction framework can shed light on bidirectional value alignment in communicative XAI systems and, more broadly, in future human-machine teaming systems. © 2022 The Authors.",False
Using Artificial Intelligence Assisted Learning Technology on Augmented Reality-Based Manufacture Workflow,"The manufacturing process is defined by the synchronous matching and mutual support of the event logic and the task context, so that the work task can be completed perfectly, by executing each step of the manufacturing process. However, during the manufacturing process of the traditional production environment, on-site personnel are often faced with the situation that on-site advice is required, due to a lack of experience or knowledge. Therefore, the function of the manufacturing process should be more closely connected with the workers and tasks. To improve the manufacturing efficiency and reduce the error rate, this research proposes a set of manufacturing work knowledge frameworks, to integrate the intelligent assisted learning system into the manufacturing process. Through Augmented Reality (AR) technology, object recognition technology is used to identify the components within the line of sight, and the assembly steps are presented visually. During the manufacturing process, the system can still feedback to the user in animation, so as to achieve the function equivalent to on-the-spot guidance and assistance when a particular problem is solved by a specialist. Research experiments show that the operation of this intelligent assisted learning interface can more quickly recognize how the manufacturing process works and can solve problems, which greatly resolves the issue of personnel with insufficient experience and knowledge. Copyright © 2022 Li and Chen.","Li, Mingchao School of Artificial Intelligence, Dongguan Polytechnic, Dongguan, China","Li, Mingchao and Chen, Yuqiang",10.3389/fpsyg.2022.859324,UNKNOWN,16641078,Frontiers in Psychology,2022,True,True,True,True,"The manufacturing process is defined by the synchronous matching and mutual support of the event logic and the task context, so that the work task can be completed perfectly, by executing each step of the manufacturing process. However, during the manufacturing process of the traditional production environment, on-site personnel are often faced with the situation that on-site advice is required, due to a lack of experience or knowledge. Therefore, the function of the manufacturing process should be more closely connected with the workers and tasks. To improve the manufacturing efficiency and reduce the error rate, this research proposes a set of manufacturing work knowledge frameworks, to integrate the intelligent assisted learning system into the manufacturing process. Through Augmented Reality (AR) technology, object recognition technology is used to identify the components within the line of sight, and the assembly steps are presented visually. During the manufacturing process, the system can still feedback to the user in animation, so as to achieve the function equivalent to on-the-spot guidance and assistance when a particular problem is solved by a specialist. Research experiments show that the operation of this intelligent assisted learning interface can more quickly recognize how the manufacturing process works and can solve problems, which greatly resolves the issue of personnel with insufficient experience and knowledge. Copyright © 2022 Li and Chen.",False
Digital Clinical Simulation Suite: Specifications and Architecture for Simulation-Based Pedagogy at Scale,"Role-plays of interpersonal interactions are essential to learning across professions, but effective simulations are difficult to create in typical learning management systems. To empower educators and researchers to advance simulation-based pedagogy, we have developed the Digital Clinical Simulation Suite (DCSS, pronounced ""decks""), an open-source platform for rehearsing for improvisational interactions. Participants are immersed in vignettes of professional practice through video, images, and text, and they are called upon to improvisationally make difficult decisions through recorded audio and text. Tailored data displays support participant reflection, instructional facilitation, and educational research. DCSS is based on six design principles: 1) Community Adaptation, 2) Masked Technical Complexity, 3) Authenticity of Task, 4) Improvisational Voice, 5) Data Access through ""5Rs"", and 6) Extensible AI Coaching. These six principles mean that any educator should be able to create a scenario that learners should engage in authentic professional challenges using ordinary computing devices, and learners and educators should have access to data for reflection, facilitation, and development of AI tools for real-time feedback. In this paper, we describe the architecture of DCSS and illustrate its use and efficacy in cases from online courses, colleges of education, and K-12 schools. © 2022 Owner/Author.","Hillaire, Garron Massachusetts Institute of Technology, Cambridge, MA, United States","Hillaire, Garron and Waldron, Rick and Littenberg-Tobias, Joshua and Thompson, Meredith and O'Brien, Sara and Marvez, G.R. and Reich, Justin",10.1145/3491140.3528276,978-145039158-0,UNKNOWN,L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale,2022,True,True,False,True,"Role-plays of interpersonal interactions are essential to learning across professions, but effective simulations are difficult to create in typical learning management systems. To empower educators and researchers to advance simulation-based pedagogy, we have developed the Digital Clinical Simulation Suite (DCSS, pronounced ""decks""), an open-source platform for rehearsing for improvisational interactions. Participants are immersed in vignettes of professional practice through video, images, and text, and they are called upon to improvisationally make difficult decisions through recorded audio and text. Tailored data displays support participant reflection, instructional facilitation, and educational research. DCSS is based on six design principles: 1) Community Adaptation, 2) Masked Technical Complexity, 3) Authenticity of Task, 4) Improvisational Voice, 5) Data Access through ""5Rs"", and 6) Extensible AI Coaching. These six principles mean that any educator should be able to create a scenario that learners should engage in authentic professional challenges using ordinary computing devices, and learners and educators should have access to data for reflection, facilitation, and development of AI tools for real-time feedback. In this paper, we describe the architecture of DCSS and illustrate its use and efficacy in cases from online courses, colleges of education, and K-12 schools. © 2022 Owner/Author.",False
Solving Dynamic Multiobjective Problem via Autoencoding Evolutionary Search,"Dynamic multiobjective optimization problem (DMOP) denotes the multiobjective optimization problem, which contains objectives that may vary over time. Due to the widespread applications of DMOP existed in reality, DMOP has attracted much research attention in the last decade. In this article, we propose to solve DMOPs via an autoencoding evolutionary search. In particular, for tracking the dynamic changes of a given DMOP, an autoencoder is derived to predict the moving of the Pareto-optimal solutions based on the nondominated solutions obtained before the dynamic occurs. This autoencoder can be easily integrated into the existing multiobjective evolutionary algorithms (EAs), for example, NSGA-II, MOEA/D, etc., for solving DMOP. In contrast to the existing approaches, the proposed prediction method holds a closed-form solution, which thus will not bring much computational burden in the iterative evolutionary search process. Furthermore, the proposed prediction of dynamic change is automatically learned from the nondominated solutions found along the dynamic optimization process, which could provide more accurate Pareto-optimal solution prediction. To investigate the performance of the proposed autoencoding evolutionary search for solving DMOP, comprehensive empirical studies have been conducted by comparing three state-of-the-art prediction-based dynamic multiobjective EAs. The results obtained on the commonly used DMOP benchmarks confirmed the efficacy of the proposed method. © 2013 IEEE.","Feng, Liang Institute of Advanced Technology, University of Science and Technology of China, State Key Laboratory of Fire Science, Department of Automation, Hefei, 230027, China; Zhou, Wei Key Laboratory of Dependable Service Computing in Cyber Physical Society (Chongqing University), Ministry of Education, Chongqing, 400044, China; Liu, Weichen Chongqing University, College of Computer Science, Chongqing, 400044, China; Ong, Yew-Soon Nanyang Technological University, School of Computer Science and Engineering, Singapore; Tan, Kay Chen City University of Hong Kong, Department of Computer Science, Hong Kong","Feng, Liang and Zhou, Wei and Liu, Weichen and Ong, Yew-Soon and Tan, Kay Chen",10.1109/TCYB.2020.3017017,UNKNOWN,21682267,IEEE Transactions on Cybernetics,2022,True,True,False,True,"Dynamic multiobjective optimization problem (DMOP) denotes the multiobjective optimization problem, which contains objectives that may vary over time. Due to the widespread applications of DMOP existed in reality, DMOP has attracted much research attention in the last decade. In this article, we propose to solve DMOPs via an autoencoding evolutionary search. In particular, for tracking the dynamic changes of a given DMOP, an autoencoder is derived to predict the moving of the Pareto-optimal solutions based on the nondominated solutions obtained before the dynamic occurs. This autoencoder can be easily integrated into the existing multiobjective evolutionary algorithms (EAs), for example, NSGA-II, MOEA/D, etc., for solving DMOP. In contrast to the existing approaches, the proposed prediction method holds a closed-form solution, which thus will not bring much computational burden in the iterative evolutionary search process. Furthermore, the proposed prediction of dynamic change is automatically learned from the nondominated solutions found along the dynamic optimization process, which could provide more accurate Pareto-optimal solution prediction. To investigate the performance of the proposed autoencoding evolutionary search for solving DMOP, comprehensive empirical studies have been conducted by comparing three state-of-the-art prediction-based dynamic multiobjective EAs. The results obtained on the commonly used DMOP benchmarks confirmed the efficacy of the proposed method. © 2013 IEEE.",False
Home Energy Recommendation System (HERS): A Deep Reinforcement Learning Method Based on Residents' Feedback and Activity,"Smart home appliances can take command and act intelligently, making them suitable for implementing optimization techniques. Artificial intelligence (AI) based control of these smart devices enables demand-side management (DSM) of electricity consumption. By integrating human feedback and activity in the decision process, this work proposes a deep Reinforcement Learning (RL) method for managing smart devices to optimize electricity cost and comfort residents. Our contributions are twofold. Firstly, we incorporate human feedback in the objective function of our DSM technique that we name Home Energy Recommendation System (HERS). Secondly, we include human activity data in the RL state definition to enhance the energy optimization performance. We perform comprehensive experimental analyses to compare the proposed deep RL approach with existing approaches that lack the aforementioned critical decision-making features. The proposed model is robust to varying resident activities and preferences and applicable to a broad spectrum of homes with different resident profiles.  © 2022 IEEE.","Shuvo, Salman Sadiq University of South Florida, Department of Electrical Engineering, Tampa, 33620, FL, United States","Shuvo, Salman Sadiq and Yilmaz, Yasin",10.1109/TSG.2022.3158814,UNKNOWN,19493053,IEEE Transactions on Smart Grid,2022,False,True,True,True,"Smart home appliances can take command and act intelligently, making them suitable for implementing optimization techniques. Artificial intelligence (AI) based control of these smart devices enables demand-side management (DSM) of electricity consumption. By integrating human feedback and activity in the decision process, this work proposes a deep Reinforcement Learning (RL) method for managing smart devices to optimize electricity cost and comfort residents. Our contributions are twofold. Firstly, we incorporate human feedback in the objective function of our DSM technique that we name Home Energy Recommendation System (HERS). Secondly, we include human activity data in the RL state definition to enhance the energy optimization performance. We perform comprehensive experimental analyses to compare the proposed deep RL approach with existing approaches that lack the aforementioned critical decision-making features. The proposed model is robust to varying resident activities and preferences and applicable to a broad spectrum of homes with different resident profiles. © 2022 IEEE.",False
