"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Anomaly Detection in Time Series Radiotherapy Treatment Data","T. B. Sipes; H. Karimabadi; S. Jiang; K. Moore; N. Li; J. R. Barr","SciberQuest Inc./ECE Department, University of California San Diego, San Diego, CA; SciberQuest, Inc, San Diego, CA; Department of Radiation Oncology, University of California San Diego, San Diego, CA; Department of Radiation Oncology, University of California San Diego, San Diego, CA; Department of Radiation Oncology, University of California San Diego, San Diego, CA; Department of Statistics, San Diego State University, San Diego, CA",2014 IEEE International Conference on Semantic Computing,"25 Aug 2014","2014","","","324","329","The work presented here resulted in a valuable innovative technology tool for automatic detection of catastrophic errors in cancer radiotherapy, adding an important safeguard for patient safety. We designed a tool for Dynamic Modeling and Prediction of Radiotherapy Treatment Deviations from Intended Plans (Smart Tool) to automatically detect and highlight potential errors in a radiotherapy treatment plan, based on the data from several thousand prostate cancer treatments at Moore Cancer Research Center at University of California San Diego. Smart Tool determines if the treatment parameters are valid, against a previously built Predictive Model of a Medical Error (PMME). Smart Tool has the following main features: 1) It communicates with a radiotherapy treatment management system, checking all the treatment parameters in the background prior to execution, and after the human expert QA is completed, 2) The anomalous treatment parameters, if any, are detected using an innovative intelligent algorithm in a completely automatic and unsupervised manner, 3) It is a self-learning and constantly evolving system, the model is dynamically updated with the new treatment data, 4) It incorporates expert knowledge through the feedback loop of the dynamic process which updates the model with any new false positives (FP) and false negatives (FN), 4) When an outlier treatment parameter is detected, Smart Tool works by preventing the plan execution and highlighting the parameter for human intervention, 5) It is aimed at catastrophic errors, not small errors.","","978-1-4799-4003-5","10.1109/ICSC.2014.64","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6882049","anomaly detection;time series data analysis;semi-supervised learning","Medical diagnostic imaging;Drugs;Predictive models;Safety","","","","64","IEEE","25 Aug 2014","","","IEEE","IEEE Conferences"
"Moodle versus eClass for Macau Schools","A. Munoyenda; R. Whitfield","ICT Department, Macau Anglican College, Macau, Taipa, SAR; ICT Department, Macau Anglican College, Macau, Taipa, SAR",2013 Learning and Teaching in Computing and Engineering,"20 Jun 2013","2013","","","90","97","In Macau, the government education department sponsors the adoption of a Hong Kong developed computer based learning management system by schools, but many teachers have concerns about the performance of this system. This project implements and uses the very popular Moodle open source learning management system in a Macau school to compare its performance against the locally developed system. The relative performance of the systems is compared from three bases - reflections by the teacher involved in using both systems, a questionnaire survey of school students on their experiences and perceptions of both systems, and a focus group of teachers. It is found that both students and teachers believe that learning management systems improve the school learning environment and encourage greater student efforts. Also, overall, it is found that the Moodle open source learning management system is easier to set up and manage, is more reliable and easier to use, and has much richer functionality than the local government sponsored alternative. Finally, it seems to be important for teachers to be closely involved in the adoption of a learning management system by a school so that they feel some responsibility in ensuring the success of the project. As a result of this project, we recommend that Macau schools change over to use the Moodle learning management system.","","978-0-7695-4960-6","10.1109/LaTiCE.2013.15","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6542244","learning management system;virtual learning environment;Moodle;eClass;comparison;ICT (Information & Communications Technologies)","Education","","1","","25","IEEE","20 Jun 2013","","","IEEE","IEEE Conferences"
"Heuristic evaluation of the visual accessibility of the moodle Virtual Learning Environment","D. Costa; H. Costa; P. A. Parreira","Universidade Federal de Goias, Goiania, GO, BR; Universidade Federal de Lavras, Lavras, MG, BR; Universidade Federal de Lavras, Lavras, MG, BR",2016 XLII Latin American Computing Conference (CLEI),"26 Jan 2017","2016","","","1","9","This paper describes the Heuristic Evaluation performed to investigate the visual accessibility of the Virtual Learning Environment Moodle. The guidelines of the WCAG 2.0 document, related to the visual disability, were used as heuristics. Each heuristic had its own checklist to assist specialists while performing the evaluation. The Heuristic Evaluation was carried out on the pages related to the two main features of Moodle: (i) provide/access files; and (ii) provide/access tasks. As main result, it was noticed that, in general, the Moodle webpages present good accessibility indications.","","978-1-5090-1633-4","10.1109/CLEI.2016.7833393","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7833393","Virtual Learning Environment;Moodle;Heuristic Evaluation;Acessibility","Visualization;W3C;Guidelines;Software;Internet;Monitoring;Portals","","1","","","IEEE","26 Jan 2017","","","IEEE","IEEE Conferences"
"Integration Moodle and academics systems","R. Moura; J. Bernardino","Instituto Superior de Engenharia de Coimbra, IPC-Instituto Politécnico de Coimbra, Coimbra, Portugal; Instituto Superior de Engenharia de Coimbra, IPC-Instituto Politécnico de Coimbra, Coimbra, Portugal",6th Iberian Conference on Information Systems and Technologies (CISTI 2011),"4 Aug 2011","2011","","","1","6","Typically the institutions of higher education (IHE) have difficulty to obtain integrated information from their information systems, since most of them still work with isolated systems and without prospects for providing integrated services. In this context, the Service Oriented Architecture (SOA) and, in particular, Web Services are promising approaches for the integration of information systems by implementing reusable and interoperable services. The lack of integration between existing academic management and distance learning systems represents a problem for the institutions of higher education leading to the duplication of data and the lack of information coherence. This work contributes to the resolution of some of these problems by implementing a model of integration of the two systems used in most institutions of higher education: Moodle and Academic Management System. The model implemented through Web Services allows Moodle to get automatically information from academic management systems. In this way, we contribute to a significant reduction of Moodle administration tasks, increasing the quality of information that is provided to users, saving time, effort and reducing the number of errors inherent to manual tasks and the manipulation of information. This work also contributes in some way to an increase in the quality of education that is taught in institutions of higher education as it liberates teachers of some administrative tasks, allowing them to devote more time to their primary function. On the other hand, it also provides students with better information about their academic data.","2166-0735","978-989-96247-5-7","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5974211","Moodle;SiGES;Academic Management System;Web Services;SOA - Service Oriented Architecture","Silicon germanium;Silicon;Service oriented architecture;Education;Object oriented modeling;Software","","","","15","","4 Aug 2011","","","IEEE","IEEE Conferences"
"Deployment of Multilanguage Security Awareness Education Online Course by Federated Moodle in Japan","H. Ueda; M. Nakamura","Kyoto University, Kyoto, Japan; National Institute of Informatics, Tokyo, Japan",2017 IEEE 41st Annual Computer Software and Applications Conference (COMPSAC),"11 Sep 2017","2017","2","","49","52","In this study, we aim to improve security awareness education by developing standard, multilanguage and sustainable online course. This talk focuses on as follows: (1) the management of e-learning services on Moodle even with limited system resources. (2) the improvement of the course content. (3) user's behavior analysis of 2013-2015 academic year. Our course ""Learn with Princess Rin Rin"" provided by Shibboleth federated Moodle, named ""GakuNinMoodle"" from November 2012. As of December 30, 2016, GakuNinMoodle was accessed 129,581 login attempts from 102 institutions. We obtained several findings of management Moodle and development online course through these years. First, database optimization is the best method for improving LMS performance with limited system resources. Second, Shareable Content Object Reference Model (SCORM) standard could be an obstacle to keep up-to-date content. Finally, the trial of analyze learning records to improve the course according to learner's behavior was presented.","0730-3157","978-1-5386-0367-3","10.1109/COMPSAC.2017.100","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8029891","","Education;Standards;Information security;Heating systems;Informatics;Databases","","4","","7","IEEE","11 Sep 2017","","","IEEE","IEEE Conferences"
"DSP Course Teaching Using Moodle","V. B. Dharmadhikari; D. Y. Loni","Department of Electronics, Walchand College of Engineering, Sangli, India; Department of Electronics, D.K.T.E Textile & Engineering Institute, Ichalkaranji, India",2010 International Conference on Signal Acquisition and Processing,"18 Mar 2010","2010","","","268","273","Advances in the multimedia technology provide an opportunity to enhance learning an Engineering subject like Digital Signal Processing (DSP). The paper presents a new teaching method that effectively integrates Information Technology into teaching - learning process. The entire DSP modules are implemented in an open source Course Management System (CMS), Moodle. It helps the students at undergraduate level in learning introductory DSP and experimenting with its basic concepts. At the same time, course instructors also find smooth flow of the contents covered that helps them in enhancing the effectiveness of their lectures, assign tasks to students with simple methods of evaluation and easy tracking of student's progress at every stage of learning. Moodle has been adopted by many people and organizations around the world, as it offers a tightly integrated set of tools to develop a powerful E-Learning tool. The focus here is upon effective adoption of the tool so that the teacher concentrates more on the learning activities and uses all the Moodle tools successfully. Moodle helps to present the course contents exactly the way the teacher has mapped the subject structure, but through a more controlled environment. The method is well suited for teaching the theoretical and mathematical concepts of DSP.","","978-1-4244-5725-0","10.1109/ICSAP.2010.11","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5432734","animation;assignment;engineering education;multimedia;question bank;quiz;video","Digital signal processing;Electronic learning;Information technology;Collision mitigation;Signal processing;Educational institutions;Textile technology;Engineering education;Standardization;Humans","","2","","7","IEEE","18 Mar 2010","","","IEEE","IEEE Conferences"
"Using Moodle in English for Professional Purposes (EPP) teaching at the University North","J. Lasić-Lazić; T. Ivanjko; I. Grubješić","Faculty of Humanities and Social Sciences, University of Zagreb, Zagreb, Croatia; Faculty of Humanities and Social Sciences, University of Zagreb, Zagreb, Croatia; Department of Civil Engineering, University North, Varaždin, Croatia","2017 40th International Convention on Information and Communication Technology, Electronics and Microelectronics (MIPRO)","13 Jul 2017","2017","","","915","919","This paper discusses the possibilities of employing the process of the blended learning of professional English through the Moodle platform. It discusses different theoretical approaches to language learning implemented within the Moodle platform and the associated cognitive domains according to Bloom's taxonomy. The paper focuses on examining the Moodle activities within the language learning framework along with the levels of each activity within the cognitive domain. These activities are implemented at the University North within a wide range of courses covering English for Professional Purposes aimed at the engineering education. The paper can serve as a framework for the possible applications of different Moodle elements in the teaching of English for Professional Purposes.","","978-953-233-090-8","10.23919/MIPRO.2017.7973553","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7973553","","Education;Irrigation","","1","","10","","13 Jul 2017","","","IEEE","IEEE Conferences"
"Using Moodle to automatically grade laboratory exercises","T. Alajbeg; D. Ćika; T. Ražov","Electrotechnical Department, Polytechnic of Zagreb, Zagreb, Croatia; Electrotechnical Department, Polytechnic of Zagreb, Zagreb, Croatia; Siemens d. d., Zagreb, Croatia",2011 Proceedings of the 34th International Convention MIPRO,"28 Jul 2011","2011","","","1343","1347","Moodle is well known, widely used open source e-learning application. Its role is to provide framework for delivering educational content, and to enable better communication between students and lecturers. Moodle capabilities also extend far beyond this basic role due to many extensions written by the community. There are many types of Moodle resources available that can be used to deliver lectures. Various types of tests and quizzes can pool questions from custom created databases. Students results can be analyzed identifying questions that were either are too difficult, or to easy to answer. Such questions can be removed from databases without recreating existing tests. In order to improve lecturer productivity, automatic grading is preferred. Typical questions that can be included in tests with automatic grading are multiple choice, short answer, matching pairs, and similar questions types where there are one or more predictable correct answers. However, some student tasks are not so easy to grade automatically. In such situations lecturer must show more creativity when using Moodle, and creating tests. In this paper some examples of laboratory exercises will be shown where goal was to test the student understanding of measuring equipment usage, software application usage, or simulation environment.","","978-953-233-059-5","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5967267","","Laboratories;Instruments;Electronic mail;Manuals;Software;Electrical engineering;Design automation","","1","","5","","28 Jul 2011","","","IEEE","IEEE Conferences"
"Do moodle reports and logs meet the needs of educational supervision?","A. Onan; E. Gürlen; S. Turan","Medical Education and Informatics, Hacettepe University Faculty of Medicine, Ankara, Turkey; Medical Education and Informatics, Hacettepe University Faculty of Medicine, Ankara, Turkey; Medical Education and Informatics, Hacettepe University Faculty of Medicine, Ankara, Turkey",2014 9th Iberian Conference on Information Systems and Technologies (CISTI),"14 Aug 2014","2014","","","1","5","We conducted a cross-sectional retrospective study in order to evaluate the usage of the software named Moodle Learning Management Software (LMS) with the purpose of educational auditing and its functionality. The study was performed over a practice of education, which deals with PBL activities with a networked learning approach. Course subjects were the instructional principles and methods. Students enrolled into the course from Hacettepe University Faculty of Education, Department of Computer Education and Instructional Technology in the academic year 2012–2013. The course was delivered via the Moodle LMS platform. The data stored in the database of the software was extracted to make auditing evaluations about the software, and auditing techniques were applied. A comparison was made between the data received from the software's modules that could be used for auditing purposes and the data on which the auditing techniques were applied after extracting and tutor-oriented evaluations were performed. The evaluations regarding the monitoring, assessing and managing of the teaching process in the activities of the Networked PBL of Moodle software's auditing function were made in consideration of the findings. It was concluded that Moodle was sufficient for meeting the basic data requirements for educational auditing, its modules alone did not have Computer Assisted Audit Techniques (CAATs) function; a CAATs add-in, which would be created or used for fulfilling the educational requirements, would be useful.","2166-0727","978-9-8998-4343-1","10.1109/CISTI.2014.6877087","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6877087","networked learning;problem based learning;e-PBL;teacher training;NPBL;auditing","Education;Software;Least squares approximations;Correlation coefficient;Computers;Data mining;Monitoring","","","","10","","14 Aug 2014","","","IEEE","IEEE Conferences"
"Teaching System Design of Moodle-based Mobile Terminal","Y. Jiugen; X. Ruonan; K. Rongrong","Education School, Jiangxi Science & Technology Normal University, Nanchang, China; Communication School, Jiangxi Normal University, Nanchang, China; Educational Administration Department, Jiangxi Normal University, Nanchang, China",2018 13th International Conference on Computer Science & Education (ICCSE),"20 Sep 2018","2018","","","1","5","Moodle, an internationally renowned open source network teaching platform, more and more schools and universities are using Moodle to do for the school network teaching platform. In recent years, with the development of information technology, mobile devices are infiltrating our lives, compared to the previous network teaching methods, teaching mobile terminal platform even more convenient. In order to solve the above problems, this paper proposes a mobile terminal-based on Moodle teaching system, the core idea is to establish a network between the mobile terminal and the middle layer, the data interface package and continuous optimization. In this paper, we carried out system requirements analysis and system overall design. And we design the physical structure, system application structure and system processing flow. In order to realize the function development of online learning and the continuous optimization of mobile terminal application. (Abstract)","2473-9464","978-1-5386-5495-8","10.1109/ICCSE.2018.8468762","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8468762","terminal mobile;teaching system;design","Education;Servers;Smart phones;System analysis and design;Browsers;Optimization","","","","8","IEEE","20 Sep 2018","","","IEEE","IEEE Conferences"
"A framework for learning analytics in moodle for assessing course outcomes","S. Yassine; S. Kadry; M. -A. Sicilia","University of Alcalá, Spain; American University of the Middle East, Kuwait; University of Alcalá, Spain",2016 IEEE Global Engineering Education Conference (EDUCON),"23 May 2016","2016","","","261","266","Assessment of course learning outcomes is a fundamental measure of student learning success in a course. This assessment is core measure for educational effectiveness required by any specialized accreditation body. Learning analytics is a powerful mean to inform learners, instructors and educational institutions about the student's performance and the progress of the learning process and to support the student success. Many useful LA tools are available in different LMS platforms such as Moodle. They are used to report student performance in specific activity. However there is a lack of integrated LA tool that can assess course learning outcomes and predict the student performance and achievement against specific outcomes. In this paper, we propose a new framework for developing learning analytics tool to assess these outcomes in the well-known open source LMS Moodle. Our framework is based on direct measure of the course learning outcomes through embedded examination of each outcome and its associated LMS activities, then to analyze the result in order to evaluate the achievement of program outcomes and to propose improvement for the coming semester where the studied course will be offer.","2165-9567","978-1-4673-8633-3","10.1109/EDUCON.2016.7474563","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7474563","Learning Analytics;Moodle;Course Outcomes;Educational Effectiveness","Learning management systems;Collaboration;Time measurement;Visualization;Accreditation;Electronic learning","","24","","12","IEEE","23 May 2016","","","IEEE","IEEE Conferences"
"Implementing a Mobile Campus Using MLE Moodle","F. Xhafa; S. Caballé; I. Rustarazo; L. Barolli","Department of Languages and Informatics Systems, Technical University of Catalonia, Spain; Department of Computer Science, Multimedia and Telecommunication Open University of Catalonia, Spain; Department of Computer Science, Multimedia and Telecommunication Open University of Catalonia, Spain; Dept. of Information and Communication Engineering, Fukuoka Institute of Technology, Japan","2010 International Conference on P2P, Parallel, Grid, Cloud and Internet Computing","13 Jan 2011","2010","","","207","214","Mobile learning is considered the next step of online learning by incorporating mobility as a key requirement. Indeed, the current wide spread of mobile devices and wireless technologies brings an enormous potential to e-learning, in terms of ubiquity, pervasiveness, personalization, flexibility, and so on. For this reason, Mobile Learning is attracting significant research efforts covering a fairly variety of learning settings, from schools and universities to workplaces and cities. This research has evidenced that mobile technology can offer new opportunities for learners to learn inside and beyond the traditional instructor-oriented educational paradigm. However, mobile technologies are still in its infancy and many challenges arise. In this paper we analyze, from both learning and technological perspectives, the development of learning applications using mobile devices. To this end, proxy and proxy less architectures are considered as way to extend traditional virtual campuses with mobile clients. The objective is twofold: to access learning materials and to support learning activities. A prototype of a Virtual Campus is developed using MLE-Moodle –the Mobile Learning module of Moodle. The proposed Virtual Campus enables mobile clients to perform online learning activities and is a step towards achieving the “anytime, anywhere” paradigm.","","978-1-4244-8538-3","10.1109/3PGCIC.2010.35","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5662787","Mobile Learning;Awareness;Mobile technologies;Pervasiveness;Web application;MLE Moodle","Mobile communication;Mobile handsets;Computer architecture;Servers;Context;Collaboration;Mobile computing","","9","","45","IEEE","13 Jan 2011","","","IEEE","IEEE Conferences"
"Problem-based learning environments in Moodle: Implementation approches","Z. F. Ali; K. Al-Dous; M. Samaka","Computer Science and Engineering Department, Qatar University, Doha, Qatar; Computer Science and Engineering Department, Qatar University, Doha, Qatar; Computer Science and Engineering Department, Qatar University, Doha, Qatar",2015 IEEE Global Engineering Education Conference (EDUCON),"30 Apr 2015","2015","","","868","873","Problem-based learning (PBL) educators resorted to developing their own environments even with existence of comprehensive Learning Management Systems (LMS). They realized that both commercial and open source systems were designed with traditional lecture-based instruction in mind. The systems lack the features and scenarios required by the inherently collaborative, dynamic, and timely pedagogy. The presence of several PBL flavors and models added more complexity to the development process preventing any single environment from being unanimously recognized by the PBL community. In this paper, we review and discuss the implementation approaches that were used in developing PBL environments in the open-source LMS Moodle. We focus on the instantiation methodologies, scaffolding, customizability, features, and flexibility. We go over a wide range of PBL implementations starting from the basic ones that used whatever features available without adding any new functionality. We then browse two Moodle environments that implemented a particular PBL model. Finally, we discuss a two environment that used scripting in two different forms, one benefitted from a standard like IMS Learning Design (IMS-LD) and the other made use of a specially developed PBL Domain-Specific Modelling Language (DSML).","2165-9567","978-1-4799-1908-6","10.1109/EDUCON.2015.7096075","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7096075","Problem-based Learning;e-learning;Domainspecifc Modelling;Moodle;IMS-LD","Conferences;Unified modeling language;Least squares approximations;Engineering education;Communities;Standards","","4","","21","IEEE","30 Apr 2015","","","IEEE","IEEE Conferences"
"Remote laboratory for position control using a Quanser Servo SRV02 operated via Moodle","F. Osses; R. Ortega; C. Muñoz-Poblete","Macrofacultad, Universidad de La Frontera, Temuco, Chile; Macrofacultad, Universidad de La Frontera, Temuco, Chile; Electrical Engineering Department, Universidad de La Frontera, Temuco, Chile",2018 IEEE International Conference on Automation/XXIII Congress of the Chilean Association of Automatic Control (ICA-ACCA),"13 Jan 2019","2018","","","1","6","Remote laboratories allow remote access by teachers and students to perform process control didactic experiences with experimental platforms. In this article we study how to transform an experimental servo platform SRV02 from Quanser by connecting it to Matlab / Simulink and Moodle. The connection with Moodle allows teachers and students to access the lab remotely using their credentials as student / teacher of a regular course. The connection between Matlab / Simulink and the experimental platform is made by converting a BiegleBone Black microcontroller card into a system that acquires signals from a shaft encoder that measures the angular position of the servo and generates the PWM outputs to manipulate a VoltPaQ X1 source from Quanser that feeds the servo motor. The Matlab / Simulink connection with the BiegleBone Black card is done using the UDP protocol with a sampling time of 0.02 seconds, in this way the control routines can be programmed directly in Matlab / Simulink. As the connection is made using aleatory access tools, it is not adequate for real time feedback loop, but only a small disturbance is observed during the first 15 seconds. This 15 seconds time interval is considered as the requisite for the system to reach a stand by position, so that the feedback control system can be initialized and ensure it works correctly in real time.","","978-1-5386-5586-3","10.1109/ICA-ACCA.2018.8609733","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8609733","Remote labs;Moodle;Automatic Control;MATLAB;Simulink","Matlab;Servomotors;Software packages;Shafts;Pulse width modulation;Visualization","","1","","23","IEEE","13 Jan 2019","","","IEEE","IEEE Conferences"
"The Implementation of Winnowing Algorithm for Plagiarism Detection in Moodle-based E-learning","E. G. Hasan; A. Wicaksana; S. Hansun","Department of Computer Science, Universitas Multimedia Nusantara, Tangerang, Indonesia; Department of Computer Science, Universitas Multimedia Nusantara, Tangerang, Indonesia; Department of Computer Science, Universitas Multimedia Nusantara, Tangerang, Indonesia",2018 IEEE/ACIS 17th International Conference on Computer and Information Science (ICIS),"20 Sep 2018","2018","","","321","325","The act of plagiarism is inappropriate and untrue for any reasons, especially in the academic world. Academicians are aware of this and try to avoid the act of plagiarism by any means necessary. In Universitas Multimedia Nusantara (UMN), an online learning (E-learning) system is used as an additional tool to support teaching process. The E-learning system is Moodle-based with one of its features is the assignment submission. The preliminary survey shows that 23.2% respondents had committed the act of plagiarism when doing assignments in E-learning in the past. Due to the lack of plagiarism detection feature in Moodle-based E-learning system, thus this research proposes a plagiarism detection feature as a plug-in for the E-learning system. The plagiarism detection plug-in handles assignments that are in the format of text documents. The plug-in makes use of Winnowing algorithm for fingerprinting the assignment documents and the hashing technique chosen for the Winnowing algorithm is Rolling Hash. The similarity value is calculated using Jaccard Coefficient. As a demonstration of feasibility, the implementation is done in Moodle-based E-learning UMN. The test results show the combinations of parameters (k-gram, window length, and the base prime number) for the plug-in and the f-measure. The plug-in successfully detects plagiarism on student assignment in E-learning UMN.","","978-1-5386-5892-5","10.1109/ICIS.2018.8466429","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466429","E-learning;Jaccard Coefficient;Plagiarism;Rolling Hash;Winnowing","Plagiarism;Electronic learning;Fingerprint recognition;Testing;Mathematical model;Feature extraction;Computer science","","7","","25","IEEE","20 Sep 2018","","","IEEE","IEEE Conferences"
"Making EJS applications at the OSP digital library available from Moodle","R. Heradio; L. de la Torre; J. Sánchez; S. Dormido",UNED; UNED; UNED; UNED,2014 11th International Conference on Remote Engineering and Virtual Instrumentation (REV),"10 Apr 2014","2014","","","112","116","Easy Java Simulations (EJS) is a free and open source software that allows to easily create simulations or virtual labs of very different topics such as control engineering, physics and so on. The Open Source Physics (OSP) project holds the ComPADRE library, a digital repository that offers more than 500 EJS applications, created by the community, that are accessible for free. Moodle is a free and open source software, well-known for being the most used and spread Learning Management System (LMS) all over the world. This work presents a new plugin for Moodle that allows searching, downloading, and adding to a Moodle course, EJS applications from the OSP ComPADRE library.","","978-1-4799-2024-2","10.1109/REV.2014.6784236","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6784236","Courseware;educational technology;physics education;engineering education;virtual labs","Physics;Computational modeling;Libraries;Remote laboratories;Computers;Java","","5","","38","IEEE","10 Apr 2014","","","IEEE","IEEE Conferences"
"The organization of classes and assessment system using Moodle","T. Alajbeg; T. Horvat; T. Novak","Department of Electrical Engineering, Polytechnic of Zagreb, Zagreb, Croatia; Department of Electrical Engineering, Polytechnic of Zagreb, Zagreb, Croatia; Department of Electrical Engineering, Polytechnic of Zagreb, Zagreb, Croatia","2014 37th International Convention on Information and Communication Technology, Electronics and Microelectronics (MIPRO)","24 Jul 2014","2014","","","639","642","The organization of classes and assessment system on the Personal Computer Applications (PCA) course, in the professional study of electrical engineering at the Polytechnic of Zagreb, is based on the Moodle system. Moodle is widely used open source application designed for e-learning. This system enables students to prepare for lectures and exercises, while emphasis is placed on their independent and individual work. Students have access to all the necessary teaching materials, applications, tasks and direct communication with the teacher even outside the class schedule. The aim of the PCA course is to point out the wide range of possible applications of personal computers, but still having in mind specific needs for a study of electrical engineering. This paper presents the organization scheme and content of the course lab exercises with the system of assessment, all based on the mentioned objectives and the use of e-learning system, Moodle.","","978-953-233-077-9","10.1109/MIPRO.2014.6859645","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6859645","","Laboratories;Education;Materials;Principal component analysis;Computers;Organizations;Electrical engineering","","4","","4","","24 Jul 2014","","","IEEE","IEEE Conferences"
"Moodle-applications in education of students at the University of Zadar","L. Zekanović-Korona; B. Krce Miočić; K. Fučko","Department of Tourism and Communication Sciences, University of Zadar, Croatia; Department of Tourism and Communication Sciences, University of Zadar, Croatia; Vocational High School Čakovec, Croatia",The 33rd International Convention MIPRO,"29 Jul 2010","2010","","","1052","1055","Nowadays, the application of new educational technologies in the education of students and pupils as well as all people involved in educational system is one of the greatest imperatives. Moodle is a software tool for developing electronic educational content that is used both in distance education and as a complement to traditional education. This paper demonstrates how Moodle can be used. The study was carried out at the University of Zadar. The data on the types of information used by students within the Moodle program, the quantity and types of educational facilities available to them, the range to which both e-learning and multimedia are used in order to complete individual courses and writing term papers are all presented here. The quality of educational content developed as well as the efficiency of information and this type of education have been examined. At the same time the paper illustrates to what extent students use educational technologies autonomously and how many teachers suggest their students to use these technologies. The informatization of education has formed the basis for better-quality youth education within the education of society as a whole.","","978-9-5323-3050-2","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5533602","technology;education;Internet;multimedia","Educational technology;Application software;Computer science education;Educational institutions;Software tools;Distance learning;Educational programs;Electronic learning;Writing;Paper technology","","","","4","","29 Jul 2010","","","IEEE","IEEE Conferences"
"Supporting Teachers to Retrieve and Select Learning Objects for Personalized Courses in the Moodle_LS Environment","C. Limongelli; A. Miola; F. Sciarrone; M. Temperini","Department of Computer Science and Automation, Roma Tre University, Rome, Italy; Department of Computer Science and Automation, Roma Tre University, Rome, Italy; Department of Computer and System Science, University of Roma La Sapienza, Rome, Italy; Department of Computer and System Science, University of Roma La Sapienza, Rome, Italy",2012 IEEE 12th International Conference on Advanced Learning Technologies,"16 Aug 2012","2012","","","518","520","In this paper we present a comprehensive framework supporting the tasks of defining, retrieving, and importing Learning Objects (LOs) for personalized courses. It is partially implemented in a Moodle-based personalization system, where the instructional designer is guided through: 1) a theoretical specification of the needed LOs; 2) a retrieval function of actual LOs, by automatically querying standard-compliant repositories; 3) an analysis of such items, to import those selected by him, also adding metadata relevant to the personalization system, at hand. This work overcomes some well known shortcomings of the Moodle system in supporting retrieval of learning material in a personalization context.","2161-377X","978-1-4673-1642-2","10.1109/ICALT.2012.110","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6268167","Learning;Systems Environments and Architectures;Adaptive Personalized and Context-Aware Technology-enhanced Learning & Education","Materials;Buildings;Least squares approximation;Electronic learning;Standards;Educational institutions","","13","","11","IEEE","16 Aug 2012","","","IEEE","IEEE Conferences"
"Ontology of moodle e-learning system for social network analysis","N. Yusof; A. B. F. Mansur; M. S. Othman","Department of Software Engineering, Faculty of Computer Science and Information Systems, Universiti Teknologi Malaysia, Johor, Malaysia; Department of Software Engineering, Faculty of Computer Science and Information Systems, Universiti Teknologi Malaysia, Johor, Malaysia; Department of Information Systems, Faculty of Computer Science and Information Systems, Universiti Teknologi Malaysia, Johor, Malaysia",2011 IEEE Conference on Open Systems,"14 Nov 2011","2011","","","122","126","The analysis using Social Network Analysis (SNA) is focusing more on the number or the frequency of social interactions based on adjacency matrix. This method cannot be used to observe the semantic relationship among e-Learning components. Therefore, this paper aims to propose a new paradigm of Social Network Analysis (SNA) using ontology structure of Moodle e-Learning. By considering the relationship of ontology, we can understand the meaning of semantic relationship more deeply. The ontology of Moodle e-learning system for social network analysis will become great advantage to make measurement not only based on the matrix or number of interactions but also based on the semantic meaning of the relationships among users.","","978-1-61284-931-7","10.1109/ICOS.2011.6079258","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6079258","E-Learning;Social Network Analysis;Ontology;Semantic meaning","Social network services;Ontologies;Electronic learning;Open systems;Semantics;Conferences;Internet","","5","","15","IEEE","14 Nov 2011","","","IEEE","IEEE Conferences"
